%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=206354, 2016/04/14 11:6:12.55)
116 1509 3.998324e-02 3.843755e+01  6.438469799759359700e+07  6.438498610762778700e+07  6.438725189112399500e+07  6.439297321353318500e+07
117 1522 4.022446e-02 3.845800e+01  6.438469799759359700e+07  6.438546448928557300e+07  6.438794440468009600e+07  6.439780294990404700e+07
118 1535 4.015495e-02 3.852482e+01  6.438469799759359700e+07  6.438478710281764000e+07  6.438765192143749400e+07  6.439692311567740100e+07
119 1548 3.971639e-02 3.853677e+01  6.438469799759359700e+07  6.438473384465999200e+07  6.438647612274443400e+07  6.438848570729683300e+07
120 1561 3.918353e-02 3.841963e+01  6.438469799759359700e+07  6.438631442181135700e+07  6.438743418630933800e+07  6.439181239210623500e+07
121 1574 3.812075e-02 3.846855e+01  6.438469799759359700e+07  6.438548503870282300e+07  6.439032736086954900e+07  6.439488714957539700e+07
122 1587 3.642540e-02 3.838267e+01  6.438469799759359700e+07  6.438543442342156200e+07  6.438665635600777000e+07  6.438924167097275700e+07
123 1600 3.456670e-02 3.839490e+01  6.438469799759359700e+07  6.438544431387025900e+07  6.438720222843496500e+07  6.439198209373946500e+07
124 1613 3.325493e-02 3.842177e+01  6.438469799759359700e+07  6.438531893092612200e+07  6.438712970841018900e+07  6.439250515451365700e+07
125 1626 3.271205e-02 3.840047e+01  6.438469799759359700e+07  6.438562306559621500e+07  6.438675894460705700e+07  6.438972070543099900e+07
126 1639 3.236648e-02 3.835790e+01  6.438469799759359700e+07  6.438518710553034400e+07  6.438661129750468600e+07  6.439219051663430800e+07
127 1652 3.238037e-02 3.831466e+01  6.438469799759359700e+07  6.438554705700930200e+07  6.438880260918091200e+07  6.439553894125701500e+07
128 1665 3.249750e-02 3.831486e+01  6.438469799759359700e+07  6.438568921366635700e+07  6.438758424727943500e+07  6.438999695607353700e+07
129 1678 3.301055e-02 3.822380e+01  6.438469799759359700e+07  6.438571861061228800e+07  6.438710755180174100e+07  6.439056024293368300e+07
130 1691 3.296273e-02 3.827407e+01  6.438469799759359700e+07  6.438590567721079300e+07  6.438701016968470100e+07  6.439220657293684800e+07
131 1704 3.261884e-02 3.824849e+01  6.438469799759359700e+07  6.438591553249175800e+07  6.438803810048086200e+07  6.439385221722809200e+07
132 1717 3.232858e-02 3.829309e+01  6.438469799759359700e+07  6.438562144832480000e+07  6.438731973157364100e+07  6.439160261052744800e+07
133 1730 3.231849e-02 3.823343e+01  6.438469799759359700e+07  6.438592152434133000e+07  6.438780298556122200e+07  6.439020893886609400e+07
134 1743 3.131511e-02 3.820892e+01  6.438468578600055700e+07  6.438468578600055700e+07  6.438692352237872800e+07  6.438994187124510100e+07
135 1756 3.012824e-02 3.816118e+01  6.438468578600055700e+07  6.438572188680577300e+07  6.438706793700666700e+07  6.438924610607523500e+07
136 1769 2.902408e-02 3.815402e+01  6.438468578600055700e+07  6.438523536372967800e+07  6.438634989835439600e+07  6.438809050875370200e+07
137 1782 2.887733e-02 3.823980e+01  6.438468578600055700e+07  6.438573366703736800e+07  6.438766592375366400e+07  6.438937850567652300e+07
138 1795 2.872898e-02 3.825916e+01  6.438468578600055700e+07  6.438527594431374200e+07  6.438730772300194200e+07  6.438983912358149100e+07
139 1808 2.908630e-02 3.829368e+01  6.438468578600055700e+07  6.438558138558146400e+07  6.438620805264253900e+07  6.438946580797258800e+07
140 1821 2.996233e-02 3.837264e+01  6.438468578600055700e+07  6.438639962526587400e+07  6.438782792311371100e+07  6.439177187586163700e+07
141 1834 3.070790e-02 3.841682e+01  6.438468578600055700e+07  6.438618525537540000e+07  6.438740706539556400e+07  6.439394442023813000e+07
142 1847 3.152982e-02 3.854955e+01  6.438468578600055700e+07  6.438522427903097100e+07  6.438882683960690300e+07  6.439117601597527400e+07
143 1860 3.195754e-02 3.845395e+01  6.438468578600055700e+07  6.438539284971540400e+07  6.438727332195830300e+07  6.438941740025457700e+07
144 1873 3.122873e-02 3.835622e+01  6.438468578600055700e+07  6.438544997134756300e+07  6.438828702320453500e+07  6.439095039304283300e+07
